"Gene","log2FC","pvalue","padj","baseMean"
"COL26A1",-0.534608949443288,0.11658861323134,0.200222154815076,48.7629006832067
"MYO7A",0.30323149479254,0.116657353153234,0.200328695378668,530.035801086818
"AC115223.1",-0.217775902469832,0.116710797141152,0.20040895841816,181.3223873418
"CCL1",-0.723506265951261,0.116739909458449,0.200447433714284,2.88926745907671
"IGHV7-4-1",-0.978304602409433,0.116766912205742,0.200482282576337,272.420675364963
"PCNX3",-0.149170988823497,0.116825495149216,0.200564274715368,6703.45749639944
"UQCRFS1P1",0.463165754881623,0.116828086154957,0.200564274715368,9.71308391410679
"GRIK5",-0.400149796611685,0.116914342705897,0.200689303558325,60.6971005153248
"SLC25A6",0.21152915514243,0.116908765413795,0.200689303558325,27418.6587690315
"LINC01291",0.626189480930278,0.116926778047736,0.200699124283831,193.094433395247
"TRAV23DV6",0.525418232792295,0.11695068388801,0.200728631303422,5.96081874969259
"SLC36A3",0.519550866266215,0.116963359393176,0.200738860824529,3.30171483872224
"NUP35",-0.160257591759904,0.117002608595728,0.200794693773309,730.646858893952
"MRPS9-AS1",0.373239889118411,0.117024772863543,0.200821201586602,4.72007052142955
"RASGRP4",-0.308264498167092,0.117054238595705,0.200860235367554,103.242835579791
"LINC02458",-0.471887406026844,0.117176458066938,0.20105841711365,3.6778941155349
"SFTPA2",-0.801177929853202,0.117192504930606,0.201074409217408,30.21696874347
"ZNF321P",0.389661645637106,0.117244785501963,0.201152564324438,28.6140754822897
"AC093520.1",-0.476196539046378,0.117262427728277,0.201171286137147,6.32483704825552
"AL049539.1",0.463810310503994,0.117300863660745,0.201225676702841,2.99991111903904
"AC083906.3",1.0134760920068,0.117320467296067,0.201247756709172,0.796340255469033
"PTGES3P1",0.184057733284543,0.117339704806146,0.201269206178074,184.560789403372
"ABCD1P2",1.27937074582803,0.117377282506366,0.201322109747549,0.671406145563448
"AC004975.1",0.421938161651205,0.117421831101338,0.20138696283672,2.50483566405497
"SOX18",0.266016473145071,0.117483609518774,0.201481357185037,465.648723222348
"AC027228.2",-0.310866845432228,0.117525683045429,0.201541949262462,37.2256803897221
"AC107294.2",0.440509466292378,0.117589408667398,0.201639662912222,35.7563628599703
"CGREF1",-0.53922810273707,0.117623034858967,0.201685754488857,202.256640478375
"ERLIN2",-0.225164640532032,0.11766577020255,0.201727008960902,3819.56653928683
"AL138889.1",0.631793622725104,0.117667340032192,0.201727008960902,1.49359232566711
"AL627171.1",0.428032390725726,0.117656608087963,0.201727008960902,2.4029115988176
"CTSD",-0.193887514552826,0.117703640903253,0.201777670119862,22087.9693806128
"SKAP2",-0.166445291652461,0.117765320936698,0.201871830108945,2001.81329027738
"OPRK1",-1.07925660621321,0.117782373443311,0.201889483741468,9.16020252751112
"EIF4A1P7",-0.380807009247249,0.117819240139381,0.20194109668844,4.4142272022535
"HEATR6",-0.112539935321661,0.11797275394547,0.202192624329912,1215.37294128472
"GCLM",-0.392001034389127,0.117999936807864,0.202227617879869,3468.28428107454
"LINC00345",0.470573237531944,0.118013543782686,0.202239342472743,5.68188349491826
"TKTL1",0.791863529682313,0.11802220641174,0.202242593101337,22.0020422421507
"SEC14L4",0.713661894137529,0.118065519867039,0.202305217533135,51.354650845953
"GNAS-AS1",-0.73562636772475,0.118098733962255,0.202350530528472,3.51077759748715
"TFAP2B",0.971309919884537,0.118146724728951,0.202421155247194,8.45463839629798
"DDR1",-0.195542202305361,0.118169875524531,0.202449215908946,27364.9826233902
"WDFY1",0.167303888931416,0.118252602112436,0.202567723916616,2386.74829762246
