"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"HUNK","ENSG00000142149.9","Upregulated",254.019963366352,1.35806609558909,6.54920328237932e-08,9.95772047390043e-07
"COL9A3","ENSG00000092758.18","Downregulated",265.221280926231,-1.50488992241892,6.55888588399251e-08,9.96737248827169e-07
"AC015961.1","ENSG00000267651.1","Upregulated",1.5236249303444,2.06410967144532,6.5813052328404e-08,9.99636057012527e-07
"NYAP1","ENSG00000166924.9","Downregulated",54.0221884577459,-1.61889418470906,6.70789098383855e-08,1.01731241648352e-06
"AC108681.1","ENSG00000224049.1","Downregulated",3.53813034407689,-2.60858176673459,6.73690527341511e-08,1.0206770016874e-06
"AL138916.1","ENSG00000227748.2","Downregulated",33.658067598267,-3.22148215819318,6.73598350544548e-08,1.0206770016874e-06
"IGHM","ENSG00000211899.10","Upregulated",16311.3529440748,2.43782242390243,6.74699732356628e-08,1.02168816614004e-06
"TNFRSF12A","ENSG00000006327.14","Downregulated",5958.87370858887,-1.04726296534759,6.75347854508874e-08,1.02215180085971e-06
"LINC02762","ENSG00000250303.4","Downregulated",251.241638717176,-1.24409175218013,6.77443375065188e-08,1.02480452264416e-06
"AL117335.1","ENSG00000276649.1","Downregulated",18.5171443020491,-1.36233715251789,6.78903468833474e-08,1.02649380325595e-06
"EYA1","ENSG00000104313.20","Upregulated",80.1997179397282,2.05600450692921,6.82830979623554e-08,1.03086786075289e-06
"GPR62","ENSG00000180929.6","Upregulated",8.28065685267313,1.44211336096352,6.90110794609713e-08,1.04004404553651e-06
"ZAR1","ENSG00000182223.7","Upregulated",1.7955776310715,2.4453608605597,6.90552054157658e-08,1.04004404553651e-06
"AC090125.1","ENSG00000263655.1","Downregulated",3.62401572466873,-2.85678153379756,6.90648812521737e-08,1.04004404553651e-06
"LDHC","ENSG00000166796.12","Upregulated",26.5069573761436,2.40587197460789,6.92098084432262e-08,1.04067177389682e-06
"AP005264.1","ENSG00000267069.1","Downregulated",14.6576736086783,-1.99745229582292,6.91692517943507e-08,1.04067177389682e-06
"PRSS44P","ENSG00000226074.5","Upregulated",1.34321911701647,2.60425241851778,6.99415805349131e-08,1.05059986198474e-06
